visit_year_month,就诊人数,排序日期
2023-04,185,2023-04-01
2023-05,695,2023-05-01
2023-06,623,2023-06-01
2023-07,635,2023-07-01
2023-08,676,2023-08-01
2023-09,684,2023-09-01
2023-10,697,2023-10-01
2023-11,678,2023-11-01
2023-12,686,2023-12-01
2024-01,694,2024-01-01
2024-02,658,2024-02-01
2024-03,709,2024-03-01
2024-04,625,2024-04-01
2024-05,660,2024-05-01
2024-06,599,2024-06-01
2024-07,672,2024-07-01
2024-08,671,2024-08-01
2024-09,647,2024-09-01
2024-10,699,2024-10-01
2024-11,606,2024-11-01
2024-12,711,2024-12-01
2025-01,676,2025-01-01
2025-02,584,2025-02-01
2025-03,700,2025-03-01
2025-04,473,2025-04-01
