disease,年龄,BMI,收缩压,舒张压,血糖,胆固醇
Chronic Kidney Disease,50.977316602316606,27.98766810249266,140.23455598455598,79.67181467181467,117.59507722007721,210.7466216216216
Lung Cancer,52.65520581113802,26.298325133546573,132.36949152542374,77.00290556900727,111.36610169491526,203.21937046004842
Stroke,54.41380999020568,27.6979497008373,141.9466209598433,79.96571988246816,114.60479921645445,216.8413320274241
Breast Cancer,45.85615079365079,27.912111764501223,128.75049603174602,75.57986111111111,113.28422619047619,206.9593253968254
"Chronic Respiratory Disease (COPD, Asthma)",46.6065,27.848774387857794,131.3235,76.5075,112.999,205.227
Hypertension,50.21153846153846,28.5823569677886,145.69787449392712,81.20495951417004,117.65688259109312,215.28846153846155
Cancer,49.974111675126906,26.93090737408954,129.48375634517765,75.85482233502537,111.56903553299492,200.78172588832487
"Cardiovascular Disease (Heart Attack, Stroke)",53.51599796851193,28.004023993967333,140.03605891315388,79.7348908075165,117.46063991874048,220.19400711020822
Diabetes,47.15762538382805,29.38231663574539,136.39918116683725,78.29017400204708,146.90890481064483,218.41965199590584
Coronary Heart Disease,53.617252066115704,28.262721298823152,138.80526859504133,79.10123966942149,117.00464876033058,223.57489669421489
