class,age,bmi,bp_risk_score,cholesterol_mg_dl,blood_sugar_mg_dl,smoking_score,gender_Female,gender_Male
Breast Cancer,-0.3444687291102847,0.0319075168821217,-0.4151444259439827,-0.102196386104048,-0.1463773396081128,-0.3085627292405575,0.6735765501438684,-0.8665802423077666
Cancer,-0.0744227744674689,-0.1254558363046878,-0.4706831017456705,-0.3375299783075168,-0.1908631812895543,0.0726877346681075,-0.0099146855943886,0.0131763284842131
"Cardiovascular Disease (Heart Attack, Stroke)",0.2438711209955211,0.0132418908889837,0.1897929875828179,0.276177746532701,0.015919881752267,0.0382071074756132,-0.0199492709925166,0.1048095397642759
Chronic Kidney Disease,-0.0031950941242173,-0.0118243188895226,0.3281364244473632,-0.1259978702897593,0.0342063634954359,-0.1409890606309405,-0.1133174279656425,0.2121499396743126
"Chronic Respiratory Disease (COPD, Asthma)",-0.2781869255498654,0.0121884088554731,-0.341721615207352,-0.226708608923577,-0.1971762893466198,0.1968275365316759,0.0236062795376413,0.0232234545137644
Coronary Heart Disease,0.2171754448434559,0.0310719598914478,0.0530395818633844,0.4733742842354796,-0.0018282358558955,-0.0209834684038785,-0.1591469868922186,0.2149999761537316
Diabetes,-0.0360461279090248,0.2552481378079536,-0.0553469922820993,0.0559070870329673,0.7868901212601823,-0.1865598957000799,-0.1388638187389294,0.0282313953669677
Hypertension,-0.1291115990571941,0.0957927042774576,0.7179653385580744,0.0584702210380987,-0.0515337686429584,-0.2032450777309936,-0.0544444974053249,0.0364470941769844
Lung Cancer,0.1624699097801172,-0.258862130549324,-0.3433012683581021,-0.2799181955870978,-0.1287627353760838,0.5006729225599416,-0.1335948757491667,0.1014226283020972
Stroke,0.2419147745989612,-0.0433083328599034,0.3372630710855667,0.2084217003727522,-0.1204748163886601,0.0519449304711115,-0.0679512663433222,0.1321198858714189
