model_key,true_class,predicted_class,count,pair
DT,Metabolic_Hypertension_Kidney,Cardio_Cerebrovascular,292,Metabolic_Hypertension_Kidney -> Cardio_Cerebrovascular
DT,Cardio_Cerebrovascular,Metabolic_Hypertension_Kidney,281,Cardio_Cerebrovascular -> Metabolic_Hypertension_Kidney
DT,Respiratory_Pulmonary,Cardio_Cerebrovascular,158,Respiratory_Pulmonary -> Cardio_Cerebrovascular
DT,Respiratory_Pulmonary,Cancer_Other,138,Respiratory_Pulmonary -> Cancer_Other
DT,Cancer_Other,Metabolic_Hypertension_Kidney,136,Cancer_Other -> Metabolic_Hypertension_Kidney
DT,Respiratory_Pulmonary,Metabolic_Hypertension_Kidney,132,Respiratory_Pulmonary -> Metabolic_Hypertension_Kidney
DT,Cancer_Other,Cardio_Cerebrovascular,125,Cancer_Other -> Cardio_Cerebrovascular
DT,Cancer_Other,Respiratory_Pulmonary,122,Cancer_Other -> Respiratory_Pulmonary
DT,Cardio_Cerebrovascular,Respiratory_Pulmonary,102,Cardio_Cerebrovascular -> Respiratory_Pulmonary
DT,Metabolic_Hypertension_Kidney,Respiratory_Pulmonary,83,Metabolic_Hypertension_Kidney -> Respiratory_Pulmonary
DT,Cardio_Cerebrovascular,Cancer_Other,79,Cardio_Cerebrovascular -> Cancer_Other
DT,Metabolic_Hypertension_Kidney,Cancer_Other,78,Metabolic_Hypertension_Kidney -> Cancer_Other
