model_key,true_class,predicted_class,count,pair
LR,Metabolic_Hypertension_Kidney,Cardio_Cerebrovascular,290,Metabolic_Hypertension_Kidney -> Cardio_Cerebrovascular
LR,Cardio_Cerebrovascular,Metabolic_Hypertension_Kidney,237,Cardio_Cerebrovascular -> Metabolic_Hypertension_Kidney
LR,Respiratory_Pulmonary,Cardio_Cerebrovascular,168,Respiratory_Pulmonary -> Cardio_Cerebrovascular
LR,Respiratory_Pulmonary,Cancer_Other,157,Respiratory_Pulmonary -> Cancer_Other
LR,Cancer_Other,Metabolic_Hypertension_Kidney,128,Cancer_Other -> Metabolic_Hypertension_Kidney
LR,Cancer_Other,Cardio_Cerebrovascular,121,Cancer_Other -> Cardio_Cerebrovascular
LR,Respiratory_Pulmonary,Metabolic_Hypertension_Kidney,115,Respiratory_Pulmonary -> Metabolic_Hypertension_Kidney
LR,Cancer_Other,Respiratory_Pulmonary,108,Cancer_Other -> Respiratory_Pulmonary
LR,Metabolic_Hypertension_Kidney,Cancer_Other,92,Metabolic_Hypertension_Kidney -> Cancer_Other
LR,Metabolic_Hypertension_Kidney,Respiratory_Pulmonary,86,Metabolic_Hypertension_Kidney -> Respiratory_Pulmonary
LR,Cardio_Cerebrovascular,Cancer_Other,84,Cardio_Cerebrovascular -> Cancer_Other
LR,Cardio_Cerebrovascular,Respiratory_Pulmonary,80,Cardio_Cerebrovascular -> Respiratory_Pulmonary
DT,Metabolic_Hypertension_Kidney,Cardio_Cerebrovascular,292,Metabolic_Hypertension_Kidney -> Cardio_Cerebrovascular
DT,Cardio_Cerebrovascular,Metabolic_Hypertension_Kidney,281,Cardio_Cerebrovascular -> Metabolic_Hypertension_Kidney
DT,Respiratory_Pulmonary,Cardio_Cerebrovascular,158,Respiratory_Pulmonary -> Cardio_Cerebrovascular
DT,Respiratory_Pulmonary,Cancer_Other,138,Respiratory_Pulmonary -> Cancer_Other
DT,Cancer_Other,Metabolic_Hypertension_Kidney,136,Cancer_Other -> Metabolic_Hypertension_Kidney
DT,Respiratory_Pulmonary,Metabolic_Hypertension_Kidney,132,Respiratory_Pulmonary -> Metabolic_Hypertension_Kidney
DT,Cancer_Other,Cardio_Cerebrovascular,125,Cancer_Other -> Cardio_Cerebrovascular
DT,Cancer_Other,Respiratory_Pulmonary,122,Cancer_Other -> Respiratory_Pulmonary
DT,Cardio_Cerebrovascular,Respiratory_Pulmonary,102,Cardio_Cerebrovascular -> Respiratory_Pulmonary
DT,Metabolic_Hypertension_Kidney,Respiratory_Pulmonary,83,Metabolic_Hypertension_Kidney -> Respiratory_Pulmonary
DT,Cardio_Cerebrovascular,Cancer_Other,79,Cardio_Cerebrovascular -> Cancer_Other
DT,Metabolic_Hypertension_Kidney,Cancer_Other,78,Metabolic_Hypertension_Kidney -> Cancer_Other
RF,Cardio_Cerebrovascular,Metabolic_Hypertension_Kidney,308,Cardio_Cerebrovascular -> Metabolic_Hypertension_Kidney
RF,Metabolic_Hypertension_Kidney,Cardio_Cerebrovascular,209,Metabolic_Hypertension_Kidney -> Cardio_Cerebrovascular
RF,Cancer_Other,Metabolic_Hypertension_Kidney,157,Cancer_Other -> Metabolic_Hypertension_Kidney
RF,Respiratory_Pulmonary,Metabolic_Hypertension_Kidney,155,Respiratory_Pulmonary -> Metabolic_Hypertension_Kidney
RF,Respiratory_Pulmonary,Cancer_Other,133,Respiratory_Pulmonary -> Cancer_Other
RF,Cancer_Other,Respiratory_Pulmonary,131,Cancer_Other -> Respiratory_Pulmonary
RF,Cardio_Cerebrovascular,Respiratory_Pulmonary,123,Cardio_Cerebrovascular -> Respiratory_Pulmonary
RF,Cardio_Cerebrovascular,Cancer_Other,96,Cardio_Cerebrovascular -> Cancer_Other
RF,Respiratory_Pulmonary,Cardio_Cerebrovascular,90,Respiratory_Pulmonary -> Cardio_Cerebrovascular
RF,Metabolic_Hypertension_Kidney,Respiratory_Pulmonary,88,Metabolic_Hypertension_Kidney -> Respiratory_Pulmonary
RF,Metabolic_Hypertension_Kidney,Cancer_Other,82,Metabolic_Hypertension_Kidney -> Cancer_Other
RF,Cancer_Other,Cardio_Cerebrovascular,65,Cancer_Other -> Cardio_Cerebrovascular
