class,age,bmi,bp_risk_score,cholesterol_mg_dl,blood_sugar_mg_dl,smoking_score,gender_Female,gender_Male
Breast Cancer,-0.3444687291102847,0.031907516882121734,-0.4151444259439827,-0.10219638610404805,-0.14637733960811283,-0.30856272924055755,0.6735765501438684,-0.8665802423077666
Cancer,-0.07442277446746898,-0.12545583630468782,-0.4706831017456705,-0.3375299783075168,-0.19086318128955435,0.07268773466810752,-0.009914685594388666,0.01317632848421313
"Cardiovascular Disease (Heart Attack, Stroke)",0.2438711209955211,0.01324189088898379,0.18979298758281796,0.276177746532701,0.015919881752267072,0.03820710747561322,-0.0199492709925166,0.10480953976427597
Chronic Kidney Disease,-0.00319509412421735,-0.011824318889522685,0.3281364244473632,-0.1259978702897593,0.03420636349543593,-0.14098906063094052,-0.11331742796564254,0.21214993967431262
"Chronic Respiratory Disease (COPD, Asthma)",-0.27818692554986546,0.012188408855473148,-0.341721615207352,-0.22670860892357708,-0.1971762893466198,0.19682753653167595,0.023606279537641318,0.023223454513764497
Coronary Heart Disease,0.21717544484345594,0.031071959891447815,0.053039581863384457,0.4733742842354796,-0.0018282358558955804,-0.020983468403878554,-0.15914698689221862,0.21499997615373162
Diabetes,-0.03604612790902486,0.2552481378079536,-0.05534699228209931,0.05590708703296736,0.7868901212601823,-0.1865598957000799,-0.1388638187389294,0.028231395366967796
Hypertension,-0.12911159905719416,0.09579270427745767,0.7179653385580744,0.0584702210380987,-0.05153376864295848,-0.20324507773099365,-0.054444497405324935,0.03644709417698448
Lung Cancer,0.16246990978011727,-0.25886213054932405,-0.34330126835810215,-0.27991819558709785,-0.12876273537608382,0.5006729225599416,-0.13359487574916673,0.10142262830209726
Stroke,0.2419147745989612,-0.043308332859903424,0.3372630710855667,0.20842170037275226,-0.12047481638866012,0.051944930471111525,-0.06795126634332223,0.1321198858714189
